key,code,x,y,keySize
control,17,0,5,TAB
shift,16,0,4,SHIFT
ctrl,157,2,5,TAB
option,18,1,5,OPTION
F1,112,1,0,REGULAR
F2,113,2,0,REGULAR
F3,114,3,0,REGULAR
F4,115,4,0,REGULAR
F5,116,5,0,REGULAR
F6,117,6,0,REGULAR
F7,118,7,0,REGULAR
F8,119,8,0,REGULAR
F9,120,9,0,REGULAR
F10,121,10,0,REGULAR
F11,122,11,0,REGULAR
F12,123,12,0,REGULAR
1,49,1,1,REGULAR
2,50,2,1,REGULAR
3,51,3,1,REGULAR
4,52,4,1,REGULAR
5,53,5,1,REGULAR
6,54,6,1,REGULAR
7,55,7,1,REGULAR
8,56,8,1,REGULAR
9,57,9,1,REGULAR
0,48,10,1,REGULAR
A,65,1,3,REGULAR
B,66,5,4,REGULAR
C,67,3,4,REGULAR
D,68,3,3,REGULAR
E,69,3,2,REGULAR
F,70,4,3,REGULAR
G,71,5,3,REGULAR
H,72,6,3,REGULAR
I,73,8,2,REGULAR
J,74,7,3,REGULAR
K,75,8,3,REGULAR
L,76,9,3,REGULAR
M,77,7,4,REGULAR
N,78,6,4,REGULAR
O,79,9,2,REGULAR
P,80,10,2,REGULAR
Q,81,1,2,REGULAR
R,82,4,2,REGULAR
S,83,2,3,REGULAR
T,84,5,2,REGULAR
U,85,7,2,REGULAR
V,86,4,4,REGULAR
W,87,2,2,REGULAR
X,88,2,4,REGULAR
Y,89,6,2,REGULAR
Z,90,1,4,REGULAR
-,192,11,1,REGULAR
+,61,12,1,REGULAR
[,91,11,2,REGULAR
],93,12,2,REGULAR
\,92,13,2,REGULAR
;,59,10,3,REGULAR
“‘“,222,11,3,REGULAR
",",44,8,4,REGULAR
.,46,9,4,REGULAR
/,47,10,4,REGULAR
~,192,0,1,REGULAR
up,38,12,4,REGULAR
down,40,8,5,REGULAR
left,37,7,5,REGULAR
right,39,9,5,REGULAR
return,10,12,3,CAPS
enter,10,12,5,REGULAR
home,36,15,1,REGULAR
end,35,15,2,REGULAR
delete,8,13,1,TAB
tab,9,0,2,TAB
space,32,3,5,SPACE
